Date,BAP,BVN
2015-01-05,-0.027678142968744806,0.05824957617088446
2015-01-06,-0.0014201101819063728,0.03828197757217607
2015-01-07,0.004769460295031455,-0.011331370163278223
2015-01-08,0.009216636760871805,-0.024028153047188184
2015-01-09,-0.011276372782647823,0.07313489160392539
2015-01-12,-0.023798723578857848,0.04508017030456408
2015-01-13,0.00039573595690235914,-0.016557842271767324
2015-01-14,-0.034149659031231544,-0.06067951636782743
2015-01-15,0.0029304613695652964,0.01850172082412701
2015-01-16,-0.009297937164764602,0.021759783000595175
2015-01-20,0.00027480151894504137,0.0204180125431054
2015-01-21,0.006979479647826274,-0.018625898019447334
2015-01-22,0.016837118670765296,0.015986214426247508
2015-01-23,0.004415358357147892,-0.03587836394942829
2015-01-26,0.01720742181039879,0.02346686268476407
2015-01-27,-0.004274027475693734,0.046195470527415496
2015-01-28,-0.03098591758366813,-0.05245937924775004
2015-01-29,-0.005931250088353522,-0.0035972155634760514
2015-01-30,-0.014671429069388524,0.02842117190182668
2015-02-02,0.02236834829100602,-0.0061485463533521596
2015-02-03,0.03283809332077032,-0.04413159600596699
2015-02-04,-0.0017744933857218774,-0.004614681559073444
2015-02-05,0.012095246934554318,0.02014728793196169
2015-02-06,-0.017966720737561052,-0.05306025765023477
2015-02-09,0.018746124170793375,0.023619414508685863
2015-02-10,-0.03468548901964755,-0.012212356372345419
2015-02-11,0.0030876232629375167,-0.025851310042758896
2015-02-12,0.007478345400955298,0.018260952015913004
2015-02-13,0.00132958219506589,0.03371095116785193
2015-02-17,0.013526679090869673,-0.04424239913057641
2015-02-18,-0.021128932407916665,0.0460825119334001
2015-02-19,-0.004831308689075406,-0.03269789979319066
2015-02-20,0.004295670232688365,-0.012422611479376741
2015-02-23,-0.006180653993228977,0.020933201587427903
2015-02-24,-0.004186924719050724,-0.022858031558418493
2015-02-25,-0.00047400237766451235,0.025678811613645616
2015-02-26,-0.006180172508825738,0.020446989763926973
2015-02-27,-0.010753086914135672,0.06327256728614802
2015-03-02,0.00720446251055148,-0.019181053764490228
2015-03-03,0.020302417544672335,-0.0385870077982372
2015-03-04,-0.0036912165412955485,0.023509120897212694
2015-03-05,0.004293892309537263,0.006236188750359622
2015-03-06,-0.028454160453517653,-0.08620420899059957
2015-03-09,-0.005664133741840019,-0.03346787676872459
2015-03-10,-0.02618000326375505,0.0168739441972903
2015-03-11,-0.0062059815811864585,0.06570670590414796
2015-03-12,0.010676205777236913,-0.02331116350743213
2015-03-13,-0.016777290725756656,-0.005676263418129634
2015-03-16,-0.007007739391991345,-0.023033831319483423
2015-03-17,-0.006035862169988965,0.006773124347711905
2015-03-18,0.0204317080085072,0.04984584100248711
2015-03-19,-0.0055895522724667395,0.008222883106295003
2015-03-20,-0.0010785855175077408,-0.008222883106294977
2015-03-23,-0.005989259128572744,0.0027484189051598146
2015-03-24,0.005845133636807286,-0.021267457978299605
2015-03-25,-0.003531675690286424,-0.012224031689307876
2015-03-26,-0.022121859809159452,-0.025875894587751483
2015-03-27,0.02255483434186472,-0.01368544765910262
2015-03-30,0.01632219693611812,0.017561518045508734
2015-03-31,-0.0014210831810513162,-0.020518840949004774
2015-04-01,0.042189370298511504,0.040624629804661465
2015-04-02,0.0281632883672211,-0.007611735989019093
2015-04-06,-0.005849615596631375,0.03565113499200159
2015-04-07,-0.005951103774516076,-0.02803939900298246
2015-04-08,0.005417577281595183,-0.0037985774569711853
2015-04-09,0.01292317549068602,-0.0086002425425615
2015-04-10,-0.0076674993198353174,0.03766941372997649
2015-04-13,-0.01087441936770628,-0.014897752526387236
2015-04-14,0.0066854448459625505,-0.0028183201628397825
2015-04-15,0.006243788983694542,0.020484877961765745
2015-04-16,0.004756241370432131,-0.029936739640312265
2015-04-17,-0.002631137925057683,0.0009493127147503777
2015-04-20,-0.004906336034229896,0.008502548963796104
2015-04-21,0.003967224063217269,0.030572074805335515
2015-04-22,0.001877144181655405,-0.005489489738416194
2015-04-23,0.007739428385378563,0.008222883106295003
2015-04-24,0.0005982266146064674,0.014453724194667445
2015-04-27,0.007477678001129464,0.0026872409357512014
2015-04-28,0.0031594175939010844,-0.012601510674148738
2015-04-29,-0.005998242844275144,0.018842987381923127
2015-04-30,0.008558065495856262,-0.006241476707774427
2015-05-01,0.009460187884297158,0.0026795867494902965
2015-05-04,0.014888701042537488,0.012411501264664046
2015-05-05,-0.006611545348327294,0.007898149874323065
2015-05-06,-0.0032895630803876945,-0.0328773189792455
2015-05-07,-0.010456901762101133,0.004506632052703744
2015-05-08,-0.010435702900363872,-0.007220061636084352
2015-05-11,0.017397461313211748,0.013495202239807817
2015-05-12,-0.012330173922637666,0.01946963630855987
2015-05-13,0.0017054118964626522,0.046241187309005775
2015-05-14,-0.008489383886394407,0.03454289650278967
2015-05-15,-0.006099156401748889,-0.010564822995205841
2015-05-18,-0.02620629811979971,-0.023978073507583873
2015-05-19,-0.0021182168386282415,-0.03145188295205116
2015-05-20,-0.0028083867190884762,-0.007802378226541674
2015-05-21,-0.0029540917115591695,-0.010498692122599714
2015-05-22,0.00938130031420908,-0.002642008519119912
2015-05-26,-0.02281821487528039,-0.010638394379714648
2015-05-27,-0.01716070447394558,-0.006258399918948843
2015-05-28,0.005517792987012595,0.025676478824228525
2015-05-29,-0.004312604158667762,-0.021202290588324686
2015-06-01,0.0038186118822066363,-0.025317615307099573
2015-06-02,0.014852561209239995,0.02799278561725026
2015-06-03,-0.007678979775348058,-0.016158425196436635
2015-06-04,-0.014114516636799775,-0.015504087602855631
2015-06-05,-0.0031322437396957047,-0.03080055915586082
2015-06-08,0.0006417170021440045,0.013182861338686918
2015-06-09,-0.008946245707909764,-0.012235347233653434
2015-06-10,-0.0033846771818330625,0.011299645881470166
2015-06-11,-0.005787425038431901,0.007462717672105228
2015-06-12,0.002608479825245399,-0.0009298940465537618
2015-06-15,-0.011718896622626833,-0.0027945978751400934
2015-06-16,-0.00043947916562513974,-0.018832844752886536
2015-06-17,0.0016832367117407285,0.01134236646862386
2015-06-18,0.010692175771085959,0.0009391220732960458
2015-06-19,-0.0031159912917183047,-0.01704576551496752
2015-06-22,0.01626898621405952,-0.0009554689352899902
2015-06-23,0.007469445305643374,0.0009554689352899542
2015-06-24,0.008890139177592713,0.0009546536408037865
2015-06-25,-0.0022503898036680386,0.004759741710885422
2015-06-26,0.012453602173280075,-0.0066698642869793155
2015-06-29,-0.02956635220302533,0.005719745908337737
2015-06-30,-0.005097817549334776,-0.013397323071725694
2015-07-01,0.008743698946300947,-0.04030037538224908
2015-07-02,-0.005007534409269849,0.012954834637201523
2015-07-06,-0.011468491783285814,0.004938279662349839
2015-07-07,-0.0016696504866837102,-0.05259045810002843
2015-07-08,-0.013018686824737434,-0.014644820671891389
2015-07-09,0.009816373733295034,-0.013793102499197183
2015-07-10,0.017200826475373146,-0.02159899164422174
2015-07-13,0.015852210079251205,0.007612536055980581
2015-07-14,-0.00992250004080586,-0.01198901941159337
2015-07-15,-0.010238062254205068,-0.023295665925479624
2015-07-16,-0.0014405371629134232,-0.007887247424623269
2015-07-17,-0.01276503737709201,-0.03218667148776415
2015-07-20,0.00029186093152940934,-0.15922603802145524
2015-07-21,-0.005414461505197776,0.06496655933695562
2015-07-22,-0.008842876669296259,0.0012829383952253747
2015-07-23,-0.012363438005377002,-0.07588480702616605
2015-07-24,-0.012442138103731638,0.06038056056875489
2015-07-27,-0.012291806040384634,-0.039845826430791625
2015-07-28,0.002991461266092763,0.026739483280052736
2015-07-29,-0.0030680923451670023,0.009192445124017429
2015-07-30,0.008948051932521541,-0.03728786025592211
2015-07-31,0.0042546746346193935,-0.03451003749203736
2015-08-03,-0.0035696911231020085,-0.05930875268543892
2015-08-04,0.002356044493707887,-0.008982092907181376
